game_number,name,space,color,turns,winner,player_number
0,PLAYER 1,85,green,4,0,1
0,PLAYER 2,115,red,4,1,2
0,PLAYER 3,97,yellow,3,0,3
0,PLAYER 4,84,blue,3,0,4
1,PLAYER 1,101,green,4,1,1
1,PLAYER 2,90,red,3,0,2
1,PLAYER 3,82,yellow,3,0,3
1,PLAYER 4,68,blue,3,0,4
2,PLAYER 1,103,green,4,1,1
2,PLAYER 2,73,red,3,0,2
2,PLAYER 3,91,yellow,3,0,3
2,PLAYER 4,77,blue,3,0,4
3,PLAYER 1,86,green,4,0,1
3,PLAYER 2,117,red,4,1,2
3,PLAYER 3,64,yellow,3,0,3
3,PLAYER 4,84,blue,3,0,4
4,PLAYER 1,114,green,4,1,1
4,PLAYER 2,79,red,3,0,2
4,PLAYER 3,79,yellow,3,0,3
4,PLAYER 4,72,blue,3,0,4
5,PLAYER 1,88,green,4,0,1
5,PLAYER 2,102,red,4,1,2
5,PLAYER 3,80,yellow,3,0,3
5,PLAYER 4,63,blue,3,0,4
6,PLAYER 1,106,green,4,1,1
6,PLAYER 2,71,red,3,0,2
6,PLAYER 3,80,yellow,3,0,3
6,PLAYER 4,93,blue,3,0,4
7,PLAYER 1,128,green,5,1,1
7,PLAYER 2,74,red,4,0,2
7,PLAYER 3,82,yellow,4,0,3
7,PLAYER 4,72,blue,4,0,4
8,PLAYER 1,106,green,4,1,1
8,PLAYER 2,72,red,3,0,2
8,PLAYER 3,99,yellow,3,0,3
8,PLAYER 4,59,blue,3,0,4
9,PLAYER 1,117,green,3,1,1
9,PLAYER 2,59,red,2,0,2
9,PLAYER 3,54,yellow,2,0,3
9,PLAYER 4,46,blue,2,0,4
10,PLAYER 1,101,green,4,1,1
10,PLAYER 2,84,red,3,0,2
10,PLAYER 3,84,yellow,3,0,3
10,PLAYER 4,77,blue,3,0,4
11,PLAYER 1,67,green,3,0,1
11,PLAYER 2,73,red,3,0,2
11,PLAYER 3,83,yellow,3,0,3
11,PLAYER 4,104,blue,3,1,4
12,PLAYER 1,77,green,4,0,1
12,PLAYER 2,100,red,4,1,2
12,PLAYER 3,78,yellow,3,0,3
12,PLAYER 4,89,blue,3,0,4
13,PLAYER 1,103,green,4,1,1
13,PLAYER 2,51,red,3,0,2
13,PLAYER 3,98,yellow,3,0,3
13,PLAYER 4,60,blue,3,0,4
14,PLAYER 1,90,green,4,0,1
14,PLAYER 2,119,red,4,1,2
14,PLAYER 3,72,yellow,3,0,3
14,PLAYER 4,73,blue,3,0,4
15,PLAYER 1,114,green,4,1,1
15,PLAYER 2,84,red,3,0,2
15,PLAYER 3,63,yellow,3,0,3
15,PLAYER 4,82,blue,3,0,4
16,PLAYER 1,96,green,4,0,1
16,PLAYER 2,126,red,4,1,2
16,PLAYER 3,72,yellow,3,0,3
16,PLAYER 4,74,blue,3,0,4
17,PLAYER 1,75,green,4,0,1
17,PLAYER 2,118,red,4,1,2
17,PLAYER 3,84,yellow,3,0,3
17,PLAYER 4,89,blue,3,0,4
18,PLAYER 1,85,green,3,0,1
18,PLAYER 2,65,red,3,0,2
18,PLAYER 3,108,yellow,3,1,3
18,PLAYER 4,62,blue,2,0,4
19,PLAYER 1,101,green,4,1,1
19,PLAYER 2,51,red,3,0,2
19,PLAYER 3,74,yellow,3,0,3
19,PLAYER 4,88,blue,3,0,4
20,PLAYER 1,88,green,4,0,1
20,PLAYER 2,102,red,4,1,2
20,PLAYER 3,62,yellow,3,0,3
20,PLAYER 4,83,blue,3,0,4
21,PLAYER 1,78,green,4,0,1
21,PLAYER 2,106,red,4,1,2
21,PLAYER 3,95,yellow,3,0,3
21,PLAYER 4,82,blue,3,0,4
22,PLAYER 1,103,green,4,1,1
22,PLAYER 2,72,red,3,0,2
22,PLAYER 3,90,yellow,3,0,3
22,PLAYER 4,87,blue,3,0,4
23,PLAYER 1,93,green,4,0,1
23,PLAYER 2,102,red,4,1,2
23,PLAYER 3,64,yellow,3,0,3
23,PLAYER 4,72,blue,3,0,4
24,PLAYER 1,106,green,3,1,1
24,PLAYER 2,50,red,2,0,2
24,PLAYER 3,48,yellow,2,0,3
24,PLAYER 4,56,blue,2,0,4
25,PLAYER 1,108,green,4,1,1
25,PLAYER 2,73,red,3,0,2
25,PLAYER 3,86,yellow,3,0,3
25,PLAYER 4,80,blue,3,0,4
26,PLAYER 1,106,green,4,1,1
26,PLAYER 2,72,red,3,0,2
26,PLAYER 3,98,yellow,3,0,3
26,PLAYER 4,87,blue,3,0,4
27,PLAYER 1,89,green,3,0,1
27,PLAYER 2,108,red,3,1,2
27,PLAYER 3,45,yellow,2,0,3
27,PLAYER 4,55,blue,2,0,4
28,PLAYER 1,108,green,4,1,1
28,PLAYER 2,57,red,3,0,2
28,PLAYER 3,61,yellow,3,0,3
28,PLAYER 4,87,blue,3,0,4
29,PLAYER 1,103,green,3,1,1
29,PLAYER 2,53,red,2,0,2
29,PLAYER 3,39,yellow,2,0,3
29,PLAYER 4,52,blue,2,0,4
30,PLAYER 1,88,green,4,0,1
30,PLAYER 2,97,red,4,0,2
30,PLAYER 3,115,yellow,4,1,3
30,PLAYER 4,78,blue,3,0,4
31,PLAYER 1,95,green,4,0,1
31,PLAYER 2,96,red,4,0,2
31,PLAYER 3,84,yellow,4,0,3
31,PLAYER 4,118,blue,4,1,4
32,PLAYER 1,101,green,4,1,1
32,PLAYER 2,90,red,3,0,2
32,PLAYER 3,72,yellow,3,0,3
32,PLAYER 4,69,blue,3,0,4
33,PLAYER 1,97,green,4,0,1
33,PLAYER 2,84,red,4,0,2
33,PLAYER 3,100,yellow,4,1,3
33,PLAYER 4,73,blue,3,0,4
34,PLAYER 1,99,green,4,0,1
34,PLAYER 2,87,red,4,0,2
34,PLAYER 3,105,yellow,4,1,3
34,PLAYER 4,57,blue,3,0,4
35,PLAYER 1,81,green,3,0,1
35,PLAYER 2,69,red,3,0,2
35,PLAYER 3,105,yellow,3,1,3
35,PLAYER 4,54,blue,2,0,4
36,PLAYER 1,97,green,4,0,1
36,PLAYER 2,108,red,4,1,2
36,PLAYER 3,89,yellow,3,0,3
36,PLAYER 4,73,blue,3,0,4
37,PLAYER 1,106,green,4,1,1
37,PLAYER 2,80,red,3,0,2
37,PLAYER 3,81,yellow,3,0,3
37,PLAYER 4,72,blue,3,0,4
38,PLAYER 1,70,green,4,0,1
38,PLAYER 2,111,red,4,1,2
38,PLAYER 3,81,yellow,3,0,3
38,PLAYER 4,59,blue,3,0,4
39,PLAYER 1,82,green,4,0,1
39,PLAYER 2,95,red,4,0,2
39,PLAYER 3,113,yellow,4,1,3
39,PLAYER 4,91,blue,3,0,4
40,PLAYER 1,104,green,4,1,1
40,PLAYER 2,79,red,3,0,2
40,PLAYER 3,62,yellow,3,0,3
40,PLAYER 4,83,blue,3,0,4
41,PLAYER 1,60,green,3,0,1
41,PLAYER 2,88,red,3,0,2
41,PLAYER 3,113,yellow,3,1,3
41,PLAYER 4,55,blue,2,0,4
42,PLAYER 1,107,green,4,1,1
42,PLAYER 2,63,red,3,0,2
42,PLAYER 3,59,yellow,3,0,3
42,PLAYER 4,61,blue,3,0,4
43,PLAYER 1,107,green,4,1,1
43,PLAYER 2,65,red,3,0,2
43,PLAYER 3,64,yellow,3,0,3
43,PLAYER 4,88,blue,3,0,4
44,PLAYER 1,85,green,4,0,1
44,PLAYER 2,80,red,4,0,2
44,PLAYER 3,116,yellow,4,1,3
44,PLAYER 4,73,blue,3,0,4
45,PLAYER 1,94,green,4,0,1
45,PLAYER 2,118,red,4,1,2
45,PLAYER 3,63,yellow,3,0,3
45,PLAYER 4,74,blue,3,0,4
46,PLAYER 1,71,green,4,0,1
46,PLAYER 2,93,red,4,0,2
46,PLAYER 3,92,yellow,4,0,3
46,PLAYER 4,102,blue,4,1,4
47,PLAYER 1,83,green,4,0,1
47,PLAYER 2,103,red,4,1,2
47,PLAYER 3,61,yellow,3,0,3
47,PLAYER 4,76,blue,3,0,4
48,PLAYER 1,110,green,4,1,1
48,PLAYER 2,64,red,3,0,2
48,PLAYER 3,55,yellow,3,0,3
48,PLAYER 4,81,blue,3,0,4
49,PLAYER 1,60,green,3,0,1
49,PLAYER 2,104,red,3,1,2
49,PLAYER 3,69,yellow,2,0,3
49,PLAYER 4,74,blue,2,0,4
50,PLAYER 1,115,green,4,1,1
50,PLAYER 2,69,red,3,0,2
50,PLAYER 3,82,yellow,3,0,3
50,PLAYER 4,82,blue,3,0,4
51,PLAYER 1,104,green,4,1,1
51,PLAYER 2,67,red,3,0,2
51,PLAYER 3,62,yellow,3,0,3
51,PLAYER 4,93,blue,3,0,4
52,PLAYER 1,104,green,4,1,1
52,PLAYER 2,69,red,3,0,2
52,PLAYER 3,80,yellow,3,0,3
52,PLAYER 4,91,blue,3,0,4
53,PLAYER 1,106,green,4,1,1
53,PLAYER 2,82,red,3,0,2
53,PLAYER 3,71,yellow,3,0,3
53,PLAYER 4,84,blue,3,0,4
54,PLAYER 1,95,green,4,0,1
54,PLAYER 2,86,red,4,0,2
54,PLAYER 3,104,yellow,4,1,3
54,PLAYER 4,85,blue,3,0,4
55,PLAYER 1,99,green,4,0,1
55,PLAYER 2,113,red,4,1,2
55,PLAYER 3,91,yellow,3,0,3
55,PLAYER 4,84,blue,3,0,4
56,PLAYER 1,107,green,4,1,1
56,PLAYER 2,95,red,3,0,2
56,PLAYER 3,90,yellow,3,0,3
56,PLAYER 4,70,blue,3,0,4
57,PLAYER 1,78,green,4,0,1
57,PLAYER 2,115,red,4,1,2
57,PLAYER 3,88,yellow,3,0,3
57,PLAYER 4,83,blue,3,0,4
58,PLAYER 1,71,green,3,0,1
58,PLAYER 2,64,red,3,0,2
58,PLAYER 3,81,yellow,3,0,3
58,PLAYER 4,109,blue,3,1,4
59,PLAYER 1,83,green,4,0,1
59,PLAYER 2,104,red,4,1,2
59,PLAYER 3,86,yellow,3,0,3
59,PLAYER 4,87,blue,3,0,4
60,PLAYER 1,119,green,4,1,1
60,PLAYER 2,73,red,3,0,2
60,PLAYER 3,68,yellow,3,0,3
60,PLAYER 4,87,blue,3,0,4
61,PLAYER 1,67,green,3,0,1
61,PLAYER 2,100,red,3,1,2
61,PLAYER 3,66,yellow,2,0,3
61,PLAYER 4,52,blue,2,0,4
62,PLAYER 1,107,green,4,1,1
62,PLAYER 2,80,red,3,0,2
62,PLAYER 3,53,yellow,3,0,3
62,PLAYER 4,69,blue,3,0,4
63,PLAYER 1,113,green,4,1,1
63,PLAYER 2,91,red,3,0,2
63,PLAYER 3,95,yellow,3,0,3
63,PLAYER 4,64,blue,3,0,4
64,PLAYER 1,103,green,4,1,1
64,PLAYER 2,88,red,3,0,2
64,PLAYER 3,56,yellow,3,0,3
64,PLAYER 4,73,blue,3,0,4
65,PLAYER 1,93,green,4,0,1
65,PLAYER 2,118,red,4,1,2
65,PLAYER 3,67,yellow,3,0,3
65,PLAYER 4,78,blue,3,0,4
66,PLAYER 1,48,green,3,0,1
66,PLAYER 2,88,red,3,0,2
66,PLAYER 3,68,yellow,3,0,3
66,PLAYER 4,113,blue,3,1,4
67,PLAYER 1,51,green,3,0,1
67,PLAYER 2,65,red,3,0,2
67,PLAYER 3,103,yellow,3,1,3
67,PLAYER 4,41,blue,2,0,4
68,PLAYER 1,91,green,3,0,1
68,PLAYER 2,88,red,3,0,2
68,PLAYER 3,91,yellow,3,0,3
68,PLAYER 4,103,blue,3,1,4
69,PLAYER 1,90,green,4,0,1
69,PLAYER 2,101,red,4,1,2
69,PLAYER 3,98,yellow,3,0,3
69,PLAYER 4,97,blue,3,0,4
70,PLAYER 1,64,green,3,0,1
70,PLAYER 2,82,red,3,0,2
70,PLAYER 3,102,yellow,3,1,3
70,PLAYER 4,32,blue,2,0,4
71,PLAYER 1,94,green,4,0,1
71,PLAYER 2,104,red,4,1,2
71,PLAYER 3,74,yellow,3,0,3
71,PLAYER 4,52,blue,3,0,4
72,PLAYER 1,98,green,4,0,1
72,PLAYER 2,100,red,4,1,2
72,PLAYER 3,81,yellow,3,0,3
72,PLAYER 4,84,blue,3,0,4
73,PLAYER 1,99,green,4,0,1
73,PLAYER 2,112,red,4,1,2
73,PLAYER 3,92,yellow,3,0,3
73,PLAYER 4,95,blue,3,0,4
74,PLAYER 1,69,green,3,0,1
74,PLAYER 2,103,red,3,1,2
74,PLAYER 3,39,yellow,2,0,3
74,PLAYER 4,58,blue,2,0,4
75,PLAYER 1,127,green,4,1,1
75,PLAYER 2,72,red,3,0,2
75,PLAYER 3,91,yellow,3,0,3
75,PLAYER 4,50,blue,3,0,4
76,PLAYER 1,95,green,3,0,1
76,PLAYER 2,97,red,3,0,2
76,PLAYER 3,82,yellow,3,0,3
76,PLAYER 4,100,blue,3,1,4
77,PLAYER 1,102,green,4,1,1
77,PLAYER 2,49,red,3,0,2
77,PLAYER 3,59,yellow,3,0,3
77,PLAYER 4,82,blue,3,0,4
