V_CODE,V_NAME,V_CONTACT,V_AREACODE,V_PHONE,V_STATE,V_ORDER
21225,"Bryson, Inc.",Smithson,615,223-3234,TN,Y
21226,"SuperLoo, Inc.",Flushing,904,215-8995,FL,N
21231,D&E Supply,Singh,615,228-3245,TN,Y
21344,Gomez Bros.,Ortega,615,889-2546,KY,N
22567,Dome Supply,Smith,901,678-1419,GA,N
23119,Randsets Ltd.,Anderson,901,678-3998,GA,Y
24004,Brackman Bros.,Browning,615,228-1410,TN,N
24288,"ORDVA, Inc.",Hakford,615,898-1234,TN,Y
25443,"B&K, Inc.",Smith,904,227-0093,FL,N
25501,Damal Supplies,Smythe,615,890-3529,TN,N
25595,Rubicon Systems,Orton,904,456-0092,FL,Y
